City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
121,yellowknife,62.456,-114.3525,-25.14,96,11,2.28,CA,1700957648
122,kudat,6.8837,116.8477,27.96,89,20,2.06,MY,1700957892
123,micheweni,-4.9667,39.8333,25.75,86,100,2.81,TZ,1700957893
124,brandon,27.9378,-82.2859,22.72,75,100,2.57,US,1700957711
125,katsuren-haebaru,26.3369,127.8719,22.21,73,75,3.6,JP,1700957894
126,georgetown,5.4112,100.3354,27.19,92,20,2.06,MY,1700957878
127,tiksi,71.6872,128.8694,-25.57,96,80,1.03,RU,1700957896
128,kavieng,-2.5744,150.7967,29.09,70,8,1.72,PG,1700957897
129,invercargill,-46.4,168.35,15.01,73,63,1.79,NZ,1700957899
130,beatrice,40.2681,-96.747,-2.95,93,100,2.06,US,1700957900
131,i-n-salah,27.1935,2.4607,16.18,34,54,2.73,DZ,1700957901
132,conception bay south,47.4999,-52.9981,-1.16,69,64,5.32,CA,1700957902
133,qaqortoq,60.7167,-46.0333,-0.34,95,100,2.99,GL,1700957902
134,whitehorse,60.7161,-135.0538,1.43,80,100,1.54,CA,1700957903
135,kuching,1.55,110.3333,27.8,81,40,3.6,MY,1700957824
136,drochia,48.035,27.8161,0.68,73,100,5.91,MD,1700957906
137,howard springs,-12.497,131.047,29.95,92,60,1.24,AU,1700957907
138,gualan,15.1333,-89.3667,28.21,96,100,1.05,GT,1700957907
139,papatowai,-46.5619,169.4708,15.57,64,64,4.3,NZ,1700957908
140,kapuskasing,49.4169,-82.4331,0.05,51,75,6.17,CA,1700957909
141,ujae,8.9322,165.7642,28.06,77,53,8.9,MH,1700957910
142,necochea,-38.5473,-58.7368,22.09,38,54,5.07,AR,1700957911
143,lebu,-37.6167,-73.65,11.42,88,15,8.28,CL,1700957912
144,shiqian,27.5225,108.2281,11.94,92,100,0.54,CN,1700957913
145,aasiaat,68.7098,-52.8699,0.44,85,100,3.96,GL,1700957915
146,juan de ayolas,-27.4,-56.9,22.64,81,68,2.57,PY,1700957917
147,angaur state,6.906,134.13,28.85,76,28,6.44,PW,1700957918
148,isfana,39.8386,69.5306,0.31,39,100,1.79,KG,1700957919
149,kiunga,-6.1219,141.2906,25.44,94,99,0.39,PG,1700957920
150,vilyuchinsk,52.9306,158.4028,-4.85,71,19,11.54,RU,1700957921
151,natal,-5.795,-35.2094,26.36,73,20,5.14,BR,1700957922
152,st. john's,47.5649,-52.7093,-1.03,72,20,3.6,CA,1700957923
153,nemuro,43.3236,145.575,0.13,60,39,6.55,JP,1700957923
154,ta`u,-14.2336,-169.5144,27.96,81,64,6.76,AS,1700957924
155,tura,25.5198,90.2201,16.09,82,0,1.74,IN,1700957926
156,indian hills,39.086,-119.7841,4.27,48,0,6.17,US,1700957927
157,mozhaysk,55.5019,36.0272,-6.63,95,98,2.31,RU,1700957927
158,kruisfontein,-34.0033,24.7314,14.16,88,74,1.02,ZA,1700957928
159,qianzhou,28.3167,109.7167,10.07,84,99,0.4,CN,1700957929
160,port alfred,-33.5906,26.891,18.43,99,99,2.92,ZA,1700957930
161,dzhalagash,45.0833,64.6667,2.57,60,100,4.76,KZ,1700957930
162,luderitz,-26.6481,15.1594,18.6,48,3,5.54,NA,1700957931
163,atafu village,-8.5421,-172.5159,29.36,71,93,4.52,TK,1700957932
164,mata-utu,-13.2816,-176.1745,28.8,73,83,4.89,WF,1700957933
165,cill airne,52.05,-9.5167,9.31,95,99,2.28,IE,1700957934
166,nuku'alofa,-21.1333,-175.2,30.19,74,20,4.12,TO,1700957838
167,cabo san lucas,22.8909,-109.9124,25.9,67,40,5.14,MX,1700957725
168,portland,45.5234,-122.6762,11.02,53,20,3.58,US,1700957490
169,pacific grove,36.6177,-121.9166,18.08,45,0,2.57,US,1700957841
170,ilulissat,69.2167,-51.1,7.01,57,100,6.69,GL,1700957938
171,dhidhdhoo,6.8833,73.1,28.51,75,67,5.07,MV,1700957938
172,qingdao,36.0986,120.3719,4.78,100,100,1.0,CN,1700957939
173,puerto aysen,-45.4,-72.7,10.04,99,100,2.24,CL,1700957940
174,mayahi,13.9553,7.6712,29.03,30,86,4.05,NE,1700957941
175,walvis bay,-22.9575,14.5053,16.16,82,0,2.12,NA,1700957942
176,ballina,-28.8667,153.5667,27.1,58,70,3.32,AU,1700957943
177,laguna,38.421,-121.4238,16.83,33,0,3.09,US,1700957944
178,pankovka,58.5,31.1999,-9.38,90,82,2.38,RU,1700957945
179,crane,31.3974,-102.3501,12.94,76,50,3.55,US,1700957946
180,uturoa,-16.7333,-151.4333,26.67,77,80,10.04,PF,1700957947
181,apple valley,34.5008,-117.1859,14.59,31,0,5.79,US,1700957579
182,sakaraha,-22.9,44.5333,22.05,70,4,0.53,MG,1700957949
183,altamira,-3.2033,-52.2064,26.98,65,95,0.63,BR,1700957714
184,new norfolk,-42.7826,147.0587,13.73,96,100,2.14,AU,1700957950
185,cidreira,-30.1811,-50.2056,18.96,70,23,6.55,BR,1700957951
186,sola,-13.8833,167.55,28.37,70,75,2.06,VU,1700957952
